"{'12210', '730'} | support: 52"
"{'12210', '271590'} | support: 57"
"{'730', '1238860'} | support: 75"
"{'469600', '1063730'} | support: 34"
"{'469600', '570'} | support: 37"
"{'469600', '730'} | support: 40"
"{'431960', '555160'} | support: 37"
"{'250820', '431960', '555160'} | support: 37"
"{'555160', '1009850'} | support: 48"
"{'438100', '555160', '1009850'} | support: 33"
"{'438100', '250820', '555160', '1009850'} | support: 33"
"{'250820', '555160', '1009850'} | support: 48"
"{'555160', '730'} | support: 50"
"{'250820', '555160', '730'} | support: 48"
"{'620980', '555160'} | support: 55"
"{'250820', '620980', '555160'} | support: 55"
"{'739630', '555160'} | support: 68"
"{'250820', '739630', '555160'} | support: 68"
"{'438100', '555160'} | support: 72"
"{'438100', '250820', '555160'} | support: 72"
"{'629730', '555160'} | support: 88"
"{'629730', '250820', '555160'} | support: 88"
"{'250820', '555160'} | support: 343"
"{'252950', '477160'} | support: 35"
"{'477160', '548430'} | support: 43"
"{'477160', '730'} | support: 50"
"{'477160', '739630'} | support: 51"
"{'250820', '1250410'} | support: 52"
"{'1158310', '1124300'} | support: 32"
"{'281990', '1124300'} | support: 35"
"{'1063730', '1124300'} | support: 35"
"{'289070', '1124300'} | support: 37"
"{'250820', '220200'} | support: 41"
"{'739630', '311210'} | support: 36"
"{'1172470', '311210'} | support: 36"
"{'431960', '311210'} | support: 41"
"{'250820', '311210'} | support: 54"
"{'730', '311210'} | support: 67"
"{'613100', '739630'} | support: 52"
"{'730', '48700'} | support: 56"
"{'261550', '48700'} | support: 67"
"{'730', '620'} | support: 70"
"{'252950', '1506830'} | support: 52"
"{'730', '1506830'} | support: 107"
"{'1172470', '582660'} | support: 34"
"{'230410', '582660'} | support: 34"
"{'1063730', '582660'} | support: 39"
"{'730', '582660'} | support: 44"
"{'518790', '730'} | support: 50"
"{'548430', '219990'} | support: 41"
"{'714010', '739630'} | support: 32"
"{'714010', '431960'} | support: 33"
"{'714010', '1063730'} | support: 34"
"{'714010', '1172470'} | support: 109"
"{'714010', '730', '1172470'} | support: 32"
"{'714010', '730'} | support: 136"
"{'250900', '212680'} | support: 33"
"{'730', '212680'} | support: 34"
"{'548430', '212680'} | support: 34"
"{'1623660', '1063730'} | support: 33"
"{'1623660', '570'} | support: 52"
"{'1623660', '730'} | support: 74"
"{'1286830', '730'} | support: 37"
"{'335300', '739630'} | support: 32"
"{'335300', '548430'} | support: 32"
"{'335300', '570'} | support: 33"
"{'335300', '1172470'} | support: 37"
"{'335300', '730'} | support: 39"
"{'570940', '335300'} | support: 63"
"{'335300', '374320'} | support: 119"
"{'1063730', '629760'} | support: 33"
"{'594650', '629760'} | support: 33"
"{'570', '629760'} | support: 36"
"{'548430', '629760'} | support: 41"
"{'739630', '629760'} | support: 43"
"{'250820', '629760'} | support: 47"
"{'730', '629760'} | support: 92"
"{'648800', '548430'} | support: 36"
"{'648800', '739630'} | support: 52"
"{'648800', '730'} | support: 66"
"{'570940', '739630'} | support: 33"
"{'570940', '250820'} | support: 36"
"{'570940', '431960'} | support: 38"
"{'570940', '730'} | support: 47"
"{'570940', '374320'} | support: 110"
"{'1238810', '570'} | support: 32"
"{'1238810', '431960'} | support: 36"
"{'1238810', '1172470'} | support: 41"
"{'1238810', '730'} | support: 96"
"{'244850', '236390'} | support: 32"
"{'244850', '739630'} | support: 35"
"{'244850', '730'} | support: 38"
"{'244850', '250820'} | support: 49"
"{'550', '240'} | support: 39"
"{'240', '4000'} | support: 54"
"{'240', '4000', '730'} | support: 33"
"{'240', '440'} | support: 55"
"{'240', '730'} | support: 195"
"{'431960', '1343400'} | support: 35"
"{'1343400', '1063730'} | support: 39"
"{'1343400', '730'} | support: 48"
"{'1088850', '1172470'} | support: 33"
"{'1088850', '739630'} | support: 36"
"{'1088850', '431960'} | support: 36"
"{'1088850', '1085660'} | support: 37"
"{'1088850', '250820'} | support: 39"
"{'1088850', '1063730'} | support: 45"
"{'548430', '629730'} | support: 37"
"{'250820', '548430', '629730'} | support: 35"
"{'629730', '730'} | support: 40"
"{'250820', '629730', '730'} | support: 35"
"{'438100', '629730'} | support: 50"
"{'438100', '250820', '629730'} | support: 50"
"{'431960', '629730'} | support: 54"
"{'250820', '431960', '629730'} | support: 52"
"{'739630', '629730'} | support: 67"
"{'250820', '739630', '629730'} | support: 66"
"{'620980', '629730'} | support: 72"
"{'250820', '620980', '629730'} | support: 71"
"{'250820', '629730'} | support: 445"
"{'381210', '242760'} | support: 44"
"{'242760', '739630'} | support: 47"
"{'250820', '242760'} | support: 56"
"{'242760', '730'} | support: 106"
"{'945360', '431240'} | support: 33"
"{'431240', '548430'} | support: 34"
"{'431240', '1172470'} | support: 34"
"{'250820', '431240'} | support: 52"
"{'431240', '739630'} | support: 65"
"{'252950', '431240'} | support: 67"
"{'431240', '730'} | support: 90"
"{'440', '304930'} | support: 60"
"{'304930', '730'} | support: 80"
"{'218620', '304930'} | support: 222"
"{'252950', '1714040'} | support: 32"
"{'1172470', '1714040'} | support: 32"
"{'646570', '1714040'} | support: 35"
"{'570', '1714040'} | support: 43"
"{'730', '1714040'} | support: 47"
"{'250900', '1714040'} | support: 48"
"{'365670', '4000'} | support: 33"
"{'365670', '431960'} | support: 40"
"{'365670', '1172470'} | support: 40"
"{'365670', '570'} | support: 51"
"{'365670', '730'} | support: 53"
"{'438100', '365670'} | support: 62"
"{'438100', '365670', '250820'} | support: 51"
"{'250820', '365670'} | support: 96"
"{'381210', '1009850'} | support: 41"
"{'438100', '381210', '1009850'} | support: 37"
"{'438100', '250820', '381210', '1009850'} | support: 37"
"{'250820', '381210', '1009850'} | support: 41"
"{'730', '1009850'} | support: 42"
"{'438100', '730', '1009850'} | support: 39"
"{'438100', '250820', '730', '1009850'} | support: 39"
"{'250820', '730', '1009850'} | support: 42"
"{'548430', '1009850'} | support: 42"
"{'438100', '548430', '1009850'} | support: 36"
"{'438100', '250820', '548430', '1009850'} | support: 36"
"{'250820', '548430', '1009850'} | support: 42"
"{'1009850', '1172470'} | support: 50"
"{'438100', '1009850', '1172470'} | support: 41"
"{'438100', '250820', '1009850', '1172470'} | support: 41"
"{'250820', '1009850', '1172470'} | support: 50"
"{'629520', '1009850'} | support: 51"
"{'438100', '629520', '1009850'} | support: 48"
"{'438100', '250820', '629520', '1009850'} | support: 48"
"{'250820', '629520', '1009850'} | support: 51"
"{'431960', '1009850'} | support: 56"
"{'438100', '431960', '1009850'} | support: 40"
"{'438100', '431960', '250820', '1009850'} | support: 40"
"{'250820', '431960', '1009850'} | support: 56"
"{'620980', '1009850'} | support: 76"
"{'438100', '620980', '1009850'} | support: 52"
"{'438100', '620980', '250820', '1009850'} | support: 52"
"{'250820', '620980', '1009850'} | support: 76"
"{'739630', '1009850'} | support: 78"
"{'438100', '739630', '1009850'} | support: 62"
